id,brand_name,presentation,dosage_raw,dci,labo_name,therapeutic_class,status,atc_code,price_ppv,price_hospital,toxicity_class,product_type,indications,is_psychoactive,contraindications,min_age,source_url
2646,"LIKACIN 500 MG / 2 ML, Solution pour injection IM / IV à 500 MG",Boite de 50 flacons de 2 ml,500 MG / 2 ML,Amikacine,SOLUDIA MAGHREB,"Antibiotique, Aminoside",Commercialisé,J01GB06,1888.0,1635.0,A,,"Amikacine 250 mg, poudre pour solution injectable est indiqué chez l’adulte et chez l’enfant en traitement curatif d’infections sévères dues à des espèces bactériennes identifiées ou suspectées, microbiologiquement sensibles à l’amikacine. Dans ces conditions, Amikacine 250 mg poudre pour solution injectable peut être utilisé :

- dans les infections suivantes :
. infections urinaires,
. endocardites,
. méningites,
. infections ostéo-articulaires,
. listérioses,
. infections de la peau et des tissus mous.

les patients pouvant présenter une bactériémie associée ou suspectée d’être associée à l’une des infections citées ci-dessus,

- notamment dans des situations à risque (chocs septiques non documentés microbiologiquement, infections nosocomiales tardives, infections sur corps étranger),

- notamment chez des sujets à risque (patients atteints de mucoviscidose, patients immunodéprimés, nouveau-nés).

L’amikacine est généralement utilisée en association à d’autres antibiotiques, en particulier avec des bêta-lactamines. Elle peut cependant être prescrite en monothérapie dans certaines situations cliniques, notamment dans le traitement d’infections urinaires.

Il convient de tenir compte des recommandations officielles concernant l'utilisation appropriée des antibactériens.",false,,,
2647,"LIORESAL 10 MG, Comprimé",Boîte de 50,10 MG,Baclofène,NOVARTIS PHARMA MAROC,Myorelaxant d'action centrale,Commercialisé,M03BX01,86.1,53.8,A,,"Spasticité musculaire grave, mais réversible, en cas de sclérose en plaques.

Peut être utilisé en cas de spasticité médullaire d'origine infectieuse, dégénérative, traumatique ou néoplasique.
Source : Compendium.ch - Date : 20 octobre 2025",false,,,
2648,"LIOTON 1000 000 UI, Gel",Tube de 50 g,1000 000 UI,Héparine sodique,PHI,"Antithrombotique, héparine",Commercialisé,B01AB01,49.5,30.9,C,Médicament,"Traitement curatif :

o Des thromboses veineuses profondes constituées et de l'embolie pulmonaire, à la phase aiguë,

o De l'infarctus du myocarde avec ou sans onde Q et de l'angor instable, à la phase aiguë,

o Des embolies artérielles extracérébrales.

o De certains cas de coagulopathie.

· Prévention des accidents thromboemboliques artériels en cas de cardiopathie emboligène, de thérapeutique endovasculaire et de chirurgie vasculaire artérielle,

· Prévention de la coagulation dans les circuits de circulation extra-corporelle et d'épuration extra rénale",false,,,
2649,"LIPANTHYL 160 MG, Comprimé",Boîte de 30,160 MG,Fénofibrate,MAPHAR,Hypolipémiant,Commercialisé,C10AB05,116.8,73.0,C,Médicament,"LIPANTHYL 160 mg, comprimé pelliculé est indiqué en complément d’un régime alimentaire adapté et d’autres mesures non pharmacologiques (telles que exercice, perte de poids) dans les cas suivants :

· Traitement d’une hypertriglycéridémie sévère associée ou non à un faible taux de HDL-cholestérol.

· Hyperlipidémie mixte lorsqu’une statine est contre-indiquée ou non tolérée.

· Hyperlipidémie mixte chez les patients à risque cardiovasculaire élevé, en association à une statine lorsque les taux de triglycérides et de cholestérol-HDL ne sont pas contrôlés de façon adéquate.",false,,,
2650,"LIPANTHYL 200 MG, Gélule",Boîte de 30,200 MG,Fénofibrate,MAPHAR,Hypolémiant,Commercialisé,C10AB05,99.5,62.2,C,Médicament,"Adultes
Le Lipanthyl 200 MG est indiqué en complément d'un régime alimentaire adapté et d'autres mesures non pharmacologiques (tels que exercice, perte de poids) dans les cas suivants:

Traitement d'une hypertriglycéridémie sévère associée ou non à un faible taux de HDL-cholestérol;

Hyperlipidémie mixte lorsqu'une statine est contre-indiquée ou non tolérée;

Hyperlipidémie mixte chez les patients à risque cardiovasculaire élevé, en association à une statine lorsque les taux de triglycérides et de cholestérol-HDL ne sont pas contrôlés de façon adéquate.",false,,,
2651,"LIPODOX 50 MG / 25 ML, Concentré pour solution pour perfusion IV en flacon",Flacon de 25 ml,50 MG / 25 ML,Doxorubicine liposomale,SUN PHARMACEUTICALS NORTH AFRICA S.A,Anthracyclines et apparentés,Commercialisé,L01DB01,4126.0,3836.0,A,,"· Carcinomes du sein
· Sarcomes des os et des parties molles
· Maladie de Hodgkin, lymphomes non hodgkiniens
· Tumeurs solides de l'enfant
· Cancers du poumon
· Leucémies aiguës et chroniques
· Cancers de la vessie, de l’ovaire, de l'estomac",false,,,
2652,"LIPOFERON, Gélule",Boite de 30,190 MG soit 14 MG de fer élément.,Fer,ARKOSANTE,Minéral,Commercialisé,B03AA,,,,,"Supplémentation en Fer.
Augmente de manière rapide et efficace la teneur en fer de l'organisme.
Améliore la biodisponibilité du fer.
Masque le goût métallique.
Empêche l’oxydation des matières grasses et des vitamines.",false,,,
2653,"LIPOROSA 10 MG / 10 MG, Gélule",Boite de 30,10 MG | 10 MG,Rosuvastatine | Ézétimibe,SERVIER MAROC,hypolipidémiants ; hypolipidémiants en association,Commercialisé,C10BA06,265.0,166.2,A,,"Hypercholestérolémie primaire

LIPOROSA est indiqué comme adjuvant à un régime alimentaire en traitement de substitution de l'hypercholestérolémie primaire chez des patients adultes contrôlés de manière adéquate par les deux substances actives individuelles administrées simultanément à la même posologie.

Prévention des événements cardiovasculaires

LIPOROSA est indiqué chez les patients adultes ayant une maladie coronaire avec un antécédent de syndrome coronarien aigu (SCA), en traitement de substitution chez les patients contrôlés de manière adéquate par les deux substances actives individuelles administrées simultanément à la même posologie.",false,,,
2654,"LIPOROSA 20 MG / 10 MG, Gélule",Boite de 30,20 MG | 10 MG,Rosuvastatine | Ézétimibe,SERVIER MAROC,hypolipidémiants ; hypolipidémiants en association,Commercialisé,C10BA06,266.0,176.8,A,,"Hypercholestérolémie primaire

LIPOROSA est indiqué comme adjuvant à un régime alimentaire en traitement de substitution de l'hypercholestérolémie primaire chez des patients adultes contrôlés de manière adéquate par les deux substances actives individuelles administrées simultanément à la même posologie.

Prévention des événements cardiovasculaires

LIPOROSA est indiqué chez les patients adultes ayant une maladie coronaire avec un antécédent de syndrome coronarien aigu (SCA), en traitement de substitution chez les patients contrôlés de manière adéquate par les deux substances actives individuelles administrées simultanément à la même posologie.",false,,,
2655,"LIPOSIC 0.2%, Gel ophtalmique",Tube de 10 g,,Carbomère 980,ZENITH PHARMA,Substitut lacrymal,Commercialisé,S01XA20,31.8,19.8,,,Traitement symptomatique de l'oeil sec,false,,,
2656,"LIPTORVA 10 MG, Comprimé pelliculé",Boite de 28,10 MG,Atorvastatine,PHARMA5,"Hypolipémiant, inhibiteur de la HMG-CoA réductase",Commercialisé,C10AA05,55.2,34.5,A,,"- Hypercholestérolémie
L’ATORVASTATINE est indiquée en complément d’un régime pour réduire les taux élevés de cholestérol total (Chol-T), de LDL-cholestérol (LDL-C), d’apolipoprotéine B et de triglycérides chez les adultes, adolescents et enfants âgés de 10 ans ou plus présentant une hypercholestérolémie primaire incluant l’hypercholestérolémie familiale (hétérozygote) ou les hyperlipidémies mixtes (correspondant aux types IIa et IIb de la classification de Fredrickson), lorsque la réponse à un régime ou à d’autres traitements non pharmacologiques n’est pas suffisante.
L’ATORVASTATINE est aussi indiquée pour réduire les taux de Chol-T et de LDL-C chez les adultes présentant une hypercholestérolémie familiale homozygote en complément d’autres traitements hypolipidémiants (notamment l’aphérèse des LDL) ou si de tels traitements sont indisponibles.
- Prévention des maladies cardiovasculaires
Prévention des évènements cardiovasculaires chez les patients adultes ayant un risque élevé de présenter un premier événement cardiovasculaire, en complément de la correction des autres facteurs de risque.",false,,,
2657,"LIPTORVA 20 MG, Comprimé pelliculé",Boite de 28,20 MG,Atorvastatine,PHARMA5,"Hypolipémiant, inhibiteur de la HMG-CoA réductase",Commercialisé,C10AA05,90.8,56.8,A,,"- Hypercholestérolémie
L’ATORVASTATINE est indiquée en complément d’un régime pour réduire les taux élevés de cholestérol total (Chol-T), de LDL-cholestérol (LDL-C), d’apolipoprotéine B et de triglycérides chez les adultes, adolescents et enfants âgés de 10 ans ou plus présentant une hypercholestérolémie primaire incluant l’hypercholestérolémie familiale (hétérozygote) ou les hyperlipidémies mixtes (correspondant aux types IIa et IIb de la classification de Fredrickson), lorsque la réponse à un régime ou à d’autres traitements non pharmacologiques n’est pas suffisante.
L’ATORVASTATINE est aussi indiquée pour réduire les taux de Chol-T et de LDL-C chez les adultes présentant une hypercholestérolémie familiale homozygote en complément d’autres traitements hypolipidémiants (notamment l’aphérèse des LDL) ou si de tels traitements sont indisponibles.
- Prévention des maladies cardiovasculaires
Prévention des évènements cardiovasculaires chez les patients adultes ayant un risque élevé de présenter un premier événement cardiovasculaire, en complément de la correction des autres facteurs de risque.",false,,,
2658,"LIPTORVA 40 MG, Comprimé pelliculé",Boite de 28,40 MG,Atorvastatine,PHARMA5,"Hypolipémiant, inhibiteur de la HMG-CoA réductase",Commercialisé,C10AA05,109.2,68.2,A,,"- Hypercholestérolémie
L’ATORVASTATINE est indiquée en complément d’un régime pour réduire les taux élevés de cholestérol total (Chol-T), de LDL-cholestérol (LDL-C), d’apolipoprotéine B et de triglycérides chez les adultes, adolescents et enfants âgés de 10 ans ou plus présentant une hypercholestérolémie primaire incluant l’hypercholestérolémie familiale (hétérozygote) ou les hyperlipidémies mixtes (correspondant aux types IIa et IIb de la classification de Fredrickson), lorsque la réponse à un régime ou à d’autres traitements non pharmacologiques n’est pas suffisante.
L’ATORVASTATINE est aussi indiquée pour réduire les taux de Chol-T et de LDL-C chez les adultes présentant une hypercholestérolémie familiale homozygote en complément d’autres traitements hypolipidémiants (notamment l’aphérèse des LDL) ou si de tels traitements sont indisponibles.
- Prévention des maladies cardiovasculaires
Prévention des évènements cardiovasculaires chez les patients adultes ayant un risque élevé de présenter un premier événement cardiovasculaire, en complément de la correction des autres facteurs de risque.",false,,,
2659,"LIRAPYN 25 MG, Gélule [P]",Flacon de 60,25 MG,Prégabaline,SUN PHARMACEUTICALS NORTH AFRICA S.A,Antiépileptique,Commercialisé,N03AX16,117.5,73.5,A,Médicament,"Douleurs neuropathiques
La prégabaline est indiqué dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale).
Épilepsie
La prégabaline est utilisé dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.
Troubles anxieux généralisés
La prégabaline est utilisé pour le traitement des troubles anxieux généralisés de l'adulte.",true,,,
2660,"LIRAPYN 50 MG, Gélule [P]",Flacon de 180,50 MG,Prégabaline,SUN PHARMACEUTICALS NORTH AFRICA S.A,Antiépileptique,Commercialisé,N03AX16,570.0,379.0,A,Médicament,"Douleurs neuropathiques
La prégabaline est indiquée dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale).
Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.
Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale)

Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.

Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.",true,,,
2661,"LIRAPYN 50 MG, Gélule [P]",Flacon de 60,50 MG,Prégabaline,SUN PHARMACEUTICALS NORTH AFRICA S.A,Antiépileptique,Commercialisé,N03AX16,204.0,128.0,A,Médicament,"Douleurs neuropathiques
La prégabaline est indiquée dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale).
Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.
Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale)

Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.

Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.",true,,,
2662,"LIRAPYN 75 MG, Gélule [P]",Flacon de 30,75 MG,Prégabaline,SUN PHARMACEUTICALS NORTH AFRICA S.A,Antiépileptique,Commercialisé,N03AX16,129.3,81.2,A,Médicament,"Douleurs neuropathiques
La prégabaline est indiquée dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale).
Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.
Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale)

Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.

Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.",true,,,
2663,"LIRAPYN 75 MG, Gélule [P]",Flacon de 60,75 MG,Prégabaline,SUN PHARMACEUTICALS NORTH AFRICA S.A,Antiépileptique,Commercialisé,N03AX16,250.0,156.8,A,Médicament,"Douleurs neuropathiques
La prégabaline est indiquée dans le traitement des douleurs neuropathiques périphériques et centrales chez l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale).
Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.
Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.
Des études cliniques ont démontré l'efficacité de la prégabaline contre les douleurs neuropathiques dans la polyneuropathie diabétique, la névralgie postherpétique, ainsi que dans les lésions de la moelle épinière (modèles pour les douleurs neuropathiques d'origine centrale)

Épilepsie
La prégabaline est utilisée dans le traitement adjuvant des crises d'épilepsie partielles comportant ou non une généralisation secondaire chez les patients adultes qui répondent de façon insuffisante à d'autres antiépileptiques.

Troubles anxieux généralisés
La prégabaline est utilisée pour le traitement des troubles anxieux généralisés de l'adulte.",true,,,
2664,"LISOR 10 MG / 5 MG, Comprimé",Boite de 30,10 MG | 5 MG,Lisinopril | Amlodipine,ATLAS PHARM,Association d'un inhibiteur de l'enzyme de conversion et d'un inhibiteur calcique sélectif,Commercialisé,C09BB03,72.0,45.0,A,Médicament,,false,,,
2665,"LISOR 20 MG / 10 MG, Comprimé",Boite de 30,20 MG | 10 MG,Lisinopril | Amlodipine,ATLAS PHARM,Association d'un inhibiteur de l'enzyme de conversion et d'un inhibiteur calcique sélectif,Commercialisé,C09BB03,122.1,76.3,A,Médicament,,false,,,
2666,"LITAK 10 MG / 5ML, Solution injectable pour injection ou perfusion IV en flacon",Boite de 5,10 MG / 5ML,Cladribine,GENERATION SANTE,Analogues puriques,Commercialisé,L01BB04,16500.0,16184.0,A,Médicament,,false,,,
2667,"LITAK 10 MG / 5ML, Solution injectable pour injection ou perfusion IV en flacon de 20 ml",Boite de 1 flacon,10 MG / 5ML,Cladribine,GENERATION SANTE,Analogues puriques,Commercialisé,L01BB04,3800.0,3500.0,A,Médicament,Traitement de la leucémie à tricholeucocytes.,false,,,
2668,"LIXIFOR, Gélule",Boite de 15,,ACTIFS NATURELS,NON RENSEIGNÉ,,Commercialisé,,,,,Complément alimentaire,,false,,,
2669,"LOCAPRED 0.1 % , Crème",Tube de 15 g,0.1 %,Désonide,MAPHAR,Anti-inflammatoire stéroïdien,Commercialisé,D07AB08,15.5,9.7,A,,"LOCAPRED est indiqué chez les adultes, les nourrissons, les enfants et les adolescents.

1. Indications privilégiées où la corticothérapie locale est tenue pour le meilleur traitement :
- eczéma de contact,
- dermatite atopique.

2. Indications où la corticothérapie locale est l’un des traitements habituels :
- dermite de stase,
- psoriasis en relais, dans les plis ou chez l’enfant,
- dermite séborrhéique à l’exception du visage.

3. Indications de circonstance pour une durée brève :
- piqûres d’insectes et prurigo parasitaire après traitement étiologique.",false,,,
2670,"LOCATOP 0.1 % , Crème",Tube de 30 g,0.1 %,Désonide,MAPHAR,Anti-inflammatoire stéroïdien,Commercialisé,D07AB08,28.0,17.5,A,,"LOCATOP est indiqué chez les adultes, les nourrissons, les enfants et les adolescents.

1. Indications privilégiées où la corticothérapie locale est tenue pour le meilleur traitement :
- eczéma de contact
- dermatite atopique
- lichénification

2. Indications où la corticothérapie locale est l’un des traitements habituels :
- dermite de stase
- psoriasis (à l’exclusion des plaques très étendues)
- lichen
- prurigo non parasitaire
- lichen scléro-atrophique génital
- granulome annulaire
- lupus érythémateux discoïde
- pustuloses amicrobiennes palmo-plantaires
- dermite séborrhéique à l’exception du visage
- traitement symptomatique du prurit du mycosis fongoïde

3. Indications de circonstance pour une durée brève
- piqûres d’insectes et prurigo parasitaire après traitement étiologique.",false,,,
2671,"LOCERYL 5 %, Solution filmogène",Flacon 2.5 ml + 10 spatules,5 %,Amorolfine,SOTHEMA,Antifongiques,Commercialisé,D01AE16,300.0,199.7,A,Médicament,"Onychomycoses causées par des dermatophytes, des levures et des moisissures.",false,,,
2672,"LODIPINE 10 MG, Comprimé",Boite de 30,10 MG,Amlodipine,GALENICA,"Inhibiteur calcique, dérivé de la dihydropyridine",Commercialisé,C08CA01,70.9,44.3,A,,"Hypertension.
Angor chronique stable.
Angor vasospastique (syndrome de Prinzmetal).",false,,,
2673,"LODIPINE 10 MG, Comprimé",Boite de 14,10 MG,Amlodipine,GALENICA,"Inhibiteur calcique, dérivé de la dihydropyridine",Commercialisé,C08CA01,36.7,22.9,A,,"Hypertension.
Angor chronique stable.
Angor vasospastique (syndrome de Prinzmetal).",false,,,
2674,"LODOZ 10 MG / 6.25 MG, Comprimé pelliculé",Boîte de 30,10 MG | 6.25 MG,Bisoprolol | Hydrochlorothiazide,COOPER PHARMA,Association bêtabloquant et diurétique,Commercialisé,C07AB07,59.1,36.9,A,Médicament,Hypertension artérielle légère à modérée.,false,,,
2675,"LODOZ 2.5 MG / 6.25 MG, Comprimé pelliculé",Boîte de 30,2.5 MG | 6.25 MG,Bisoprolol | Hydrochlorothiazide,COOPER PHARMA,Association d'un bêtabloquant et d'un diurétique,Commercialisé,C07AB07,71.6,44.7,A,Médicament,Hypertension artérielle légère à modérée.,false,,,
2676,"LODOZ 5 MG / 6.25 MG, Comprimé pelliculé",Boîte de 30,5 MG | 6.25 MG,Bisoprolol | Hydrochlorothiazide,COOPER PHARMA,Association bêtabloquant et diurétique,Commercialisé,C07AB07,71.6,44.7,A,Médicament,Hypertension artérielle légère à modérée.,false,,,
2677,"LOMET 15 MG, Gélule",Boîte de 28,15 MG,Lansoprazole,GENPHARMA,Inhibiteurs de la pompe à protons,Commercialisé,A02BC03,42.0,26.3,C,,"Adultes
ulcère duodénal/ulcère gastrique inclus ulcère duodénal/ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS);
prévention de l'ulcère duodénal et de l'ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS) et dont le risque de développer un ulcère induit par un AINS est élevé. Les études contrôlées menées pour démontrer l'efficacité et la tolérance étaient de 12 semaines;
éradication de l'Helicobacter pylori lors d'ulcères gastriques, d'ulcères duodénaux ainsi que de gastrites associées à un Helicobacter pylori lors de l'administration simultanée de 2 antibiotiques pendant 7 jours, un des antibiotiques devant être la clarithromycine;
oesophagite de reflux (inclus prévention et traitement de longue durée);
reflux gastro-oesophagien symptomatique sans oesophagite de reflux érosive ulcérative;
syndrome de Zollinger-Ellison;
traitement symptomatique de courte durée des troubles épigastriques (comme régurgitations acides, aigreurs et douleurs épigastriques).
Enfants à partir de 12 mois
Oesophagite de reflux.",false,,,
2678,"LOMET 15 MG, Gélule",Boîte de 7,15 MG,Lansoprazole,GENPHARMA,"Antiulcéreux, inhibiteur de la pompe à protons (IPP)",Commercialisé,A02BC03,23.4,14.6,C,Médicament,"Adultes
ulcère duodénal/ulcère gastrique inclus ulcère duodénal/ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS);
prévention de l'ulcère duodénal et de l'ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS) et dont le risque de développer un ulcère induit par un AINS est élevé. Les études contrôlées menées pour démontrer l'efficacité et la tolérance étaient de 12 semaines;
éradication de l'Helicobacter pylori lors d'ulcères gastriques, d'ulcères duodénaux ainsi que de gastrites associées à un Helicobacter pylori lors de l'administration simultanée de 2 antibiotiques pendant 7 jours, un des antibiotiques devant être la clarithromycine;
oesophagite de reflux (inclus prévention et traitement de longue durée);
reflux gastro-oesophagien symptomatique sans oesophagite de reflux érosive ulcérative;
syndrome de Zollinger-Ellison;
traitement symptomatique de courte durée des troubles épigastriques (comme régurgitations acides, aigreurs et douleurs épigastriques).
Enfants à partir de 12 mois
Oesophagite de reflux.",false,,,
2679,"LOMET 15 MG, Gélule",Boîte de 14,15 MG,Lansoprazole,GENPHARMA,"Antiulcéreux, inhibiteur de la pompe à protons (IPP)",Commercialisé,A02BC03,32.7,20.4,C,Médicament,"Adultes
ulcère duodénal/ulcère gastrique inclus ulcère duodénal/ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS);
prévention de l'ulcère duodénal et de l'ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS) et dont le risque de développer un ulcère induit par un AINS est élevé. Les études contrôlées menées pour démontrer l'efficacité et la tolérance étaient de 12 semaines;
éradication de l'Helicobacter pylori lors d'ulcères gastriques, d'ulcères duodénaux ainsi que de gastrites associées à un Helicobacter pylori lors de l'administration simultanée de 2 antibiotiques pendant 7 jours, un des antibiotiques devant être la clarithromycine;
oesophagite de reflux (inclus prévention et traitement de longue durée);
reflux gastro-oesophagien symptomatique sans oesophagite de reflux érosive ulcérative;
syndrome de Zollinger-Ellison;
traitement symptomatique de courte durée des troubles épigastriques (comme régurgitations acides, aigreurs et douleurs épigastriques).
Enfants à partir de 12 mois
Oesophagite de reflux.",false,,,
2680,"LOMET 30 MG, Gélule",Boîte de 7,30 MG,Lansoprazole,GENPHARMA,"Antiulcéreux, inhibiteur de la pompe à protons (IPP)",Commercialisé,A02BC03,23.3,14.6,C,Médicament,"Adultes
ulcère duodénal/ulcère gastrique inclus ulcère duodénal/ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS);
prévention de l'ulcère duodénal et de l'ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS) et dont le risque de développer un ulcère induit par un AINS est élevé. Les études contrôlées menées pour démontrer l'efficacité et la tolérance étaient de 12 semaines;
éradication de l'Helicobacter pylori lors d'ulcères gastriques, d'ulcères duodénaux ainsi que de gastrites associées à un Helicobacter pylori lors de l'administration simultanée de 2 antibiotiques pendant 7 jours, un des antibiotiques devant être la clarithromycine;
oesophagite de reflux (inclus prévention et traitement de longue durée);
reflux gastro-oesophagien symptomatique sans oesophagite de reflux érosive ulcérative;
syndrome de Zollinger-Ellison;
traitement symptomatique de courte durée des troubles épigastriques (comme régurgitations acides, aigreurs et douleurs épigastriques).
Enfants à partir de 12 mois
Oesophagite de reflux.",false,,,
2681,"LOMET 30 MG, Gélule",Boîte de 14,30 MG,Lansoprazole,GENPHARMA,"Antiulcéreux, inhibiteur de la pompe à protons (IPP)",Commercialisé,A02BC03,34.6,21.6,C,Médicament,"Adultes
ulcère duodénal/ulcère gastrique inclus ulcère duodénal/ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS);
prévention de l'ulcère duodénal et de l'ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS) et dont le risque de développer un ulcère induit par un AINS est élevé. Les études contrôlées menées pour démontrer l'efficacité et la tolérance étaient de 12 semaines;
éradication de l'Helicobacter pylori lors d'ulcères gastriques, d'ulcères duodénaux ainsi que de gastrites associées à un Helicobacter pylori lors de l'administration simultanée de 2 antibiotiques pendant 7 jours, un des antibiotiques devant être la clarithromycine;
oesophagite de reflux (inclus prévention et traitement de longue durée);
reflux gastro-oesophagien symptomatique sans oesophagite de reflux érosive ulcérative;
syndrome de Zollinger-Ellison;
traitement symptomatique de courte durée des troubles épigastriques (comme régurgitations acides, aigreurs et douleurs épigastriques).
Enfants à partir de 12 mois
Oesophagite de reflux.",false,,,
2682,"LOMET 30 MG, Gélule",Boîte de 28,30 MG,Lansoprazole,GENPHARMA,"Antiulcéreux, inhibiteur de la pompe à protons (IPP)",Commercialisé,A02BC03,65.4,40.9,C,Médicament,"Adultes
ulcère duodénal/ulcère gastrique inclus ulcère duodénal/ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS);
prévention de l'ulcère duodénal et de l'ulcère gastrique induits par les AINS chez les patients nécessitant la poursuite d'un traitement par un anti-inflammatoire non stéroïdien (AINS) et dont le risque de développer un ulcère induit par un AINS est élevé. Les études contrôlées menées pour démontrer l'efficacité et la tolérance étaient de 12 semaines;
éradication de l'Helicobacter pylori lors d'ulcères gastriques, d'ulcères duodénaux ainsi que de gastrites associées à un Helicobacter pylori lors de l'administration simultanée de 2 antibiotiques pendant 7 jours, un des antibiotiques devant être la clarithromycine;
oesophagite de reflux (inclus prévention et traitement de longue durée);
reflux gastro-oesophagien symptomatique sans oesophagite de reflux érosive ulcérative;
syndrome de Zollinger-Ellison;
traitement symptomatique de courte durée des troubles épigastriques (comme régurgitations acides, aigreurs et douleurs épigastriques).
Enfants à partir de 12 mois
Oesophagite de reflux.",false,,,
